State_Name,Avg_Home_Insurance_2022,Crime_Rate,pm25_state_mean,hurricane_count_5yr,severe_storm_count_5yr,flood_count_5yr,fire_count_5yr,coastal_storm_count_5yr,tropical_storm_count_5yr,tornado_count_5yr,climate_event_count_5yr,median_home_value,median_income,Population,price_to_income_ratio
Alabama,1414.11,443.7,8.031645606271777,127,62,0,0,0,0,1,190,140207.46268656716,51690.19402985075,5028092,2.683892842902288
Alaska,1334.1,,9.095974213872832,0,10,4,5,1,0,0,20,252356.66666666663,76687.5,734821,3.229082093903682
Arizona,1085.1,,7.593230194719472,0,3,5,19,0,0,0,27,217293.3333333333,59725.53333333333,7172282,3.567881070656074
Arkansas,1273.6,648.0,8.50340554679803,75,0,36,0,0,0,18,129,124300.0,49542.333333333336,3018669,2.492439391679452
California,1619.62,531.3,8.805778755785628,0,32,0,132,0,0,0,164,534350.0,82966.60344827586,39356104,6.096509810818931
Colorado,1969.78,503.6,6.044715958490566,0,0,0,15,0,0,0,15,359531.25,70542.53125,5770790,4.853883173157166
Connecticut,1812.01,152.8,6.349004077625571,37,2,0,0,0,0,2,41,335222.22222222225,89776.11111111111,3611317,3.684533605267435
Delaware,1108.33,390.9,6.615159666666666,3,0,0,0,0,0,0,3,302900.0,76664.33333333333,993635,3.963292850012616
Florida,2402.62,370.3,7.029707592105264,429,37,0,6,0,54,0,526,231559.7014925373,61786.31343283582,21634529,3.6087031330335657
Georgia,1477.2,456.1,8.657218559322033,210,9,0,0,0,0,0,219,165625.78616352202,57724.59119496856,10722325,2.7825829221884093
Hawaii,1607.58,,3.429344032407408,15,3,3,2,0,0,0,23,707525.0,89575.5,1450539,7.803266199177278
Idaho,1096.12,246.6,8.867557601190477,0,4,6,7,0,0,0,17,273572.7272727273,62464.045454545456,1854109,4.356067448499494
Illinois,1247.31,300.0,8.634098205930808,0,0,29,0,0,0,14,43,139829.41176470587,66102.83333333333,12757634,2.06693428938914
Indiana,1175.18,322.9,8.760139528735632,0,0,31,0,0,0,0,31,164272.8260869565,66228.89130434782,6784403,2.455883434536617
Iowa,1222.26,272.2,7.511652555555556,0,84,81,0,0,0,0,165,149557.57575757577,67479.8686868687,3188836,2.19562883084046
Kansas,1672.35,416.9,8.599241375886525,0,180,0,2,0,0,0,182,124448.57142857143,61593.49523809524,2935922,1.9883361861558948
Kentucky,1296.73,231.3,7.893187473815462,0,101,127,0,0,0,39,267,139647.5,53803.93333333333,4502935,2.558807477360134
Louisiana,1961.25,570.9,8.394331633027523,573,3,32,0,169,0,0,777,154387.5,53126.265625,4640546,2.88983826976807
Maine,1039.87,104.4,4.258953951724138,0,13,0,0,4,0,0,17,215437.5,63499.9375,1366949,3.3142608785419685
